state,district,stage,type,date,schools
Perlis,All Districts,primary,Sekolah Rendah Kerajaan,2021-01-01,74
Perlis,All Districts,primary,Sekolah Rendah Kerajaan,2022-01-01,74
Perlis,All Districts,secondary,Sekolah Menengah Kerajaan,2017-01-01,30
Perlis,All Districts,secondary,Sekolah Menengah Kerajaan,2018-01-01,30
Perlis,All Districts,secondary,Sekolah Menengah Kerajaan,2019-01-01,30
Perlis,All Districts,secondary,Sekolah Menengah Kerajaan,2020-01-01,30
Perlis,All Districts,secondary,Sekolah Menengah Kerajaan,2021-01-01,30
Perlis,All Districts,secondary,Sekolah Menengah Kerajaan,2022-01-01,30
Perlis,All Districts,tertiary,IPTA,2017-01-01,1
Perlis,All Districts,tertiary,IPTA,2018-01-01,1
Perlis,All Districts,tertiary,IPTA,2019-01-01,1
Perlis,All Districts,tertiary,IPTA,2020-01-01,1
Perlis,All Districts,tertiary,IPTA,2021-01-01,1
Perlis,All Districts,tertiary,IPTA,2022-01-01,1
Pulau Pinang,All Districts,primary,Sekolah Rendah Kerajaan,2017-01-01,271
Pulau Pinang,All Districts,primary,Sekolah Rendah Kerajaan,2018-01-01,271
Pulau Pinang,All Districts,primary,Sekolah Rendah Kerajaan,2019-01-01,271
Pulau Pinang,All Districts,primary,Sekolah Rendah Kerajaan,2020-01-01,271
Pulau Pinang,All Districts,primary,Sekolah Rendah Kerajaan,2021-01-01,271
Pulau Pinang,All Districts,primary,Sekolah Rendah Kerajaan,2022-01-01,270
Pulau Pinang,All Districts,secondary,Sekolah Menengah Kerajaan,2017-01-01,127
Pulau Pinang,All Districts,secondary,Sekolah Menengah Kerajaan,2018-01-01,128
Pulau Pinang,All Districts,secondary,Sekolah Menengah Kerajaan,2019-01-01,128
Pulau Pinang,All Districts,secondary,Sekolah Menengah Kerajaan,2020-01-01,128
Pulau Pinang,All Districts,secondary,Sekolah Menengah Kerajaan,2021-01-01,129
Pulau Pinang,All Districts,secondary,Sekolah Menengah Kerajaan,2022-01-01,128
Pulau Pinang,All Districts,tertiary,IPTA,2017-01-01,1
Pulau Pinang,All Districts,tertiary,IPTA,2018-01-01,1
Pulau Pinang,All Districts,tertiary,IPTA,2019-01-01,1
Pulau Pinang,All Districts,tertiary,IPTA,2020-01-01,1
Pulau Pinang,All Districts,tertiary,IPTA,2021-01-01,1
Pulau Pinang,All Districts,tertiary,IPTA,2022-01-01,1
Sabah,All Districts,primary,Sekolah Rendah Kerajaan,2017-01-01,1074
Sabah,All Districts,primary,Sekolah Rendah Kerajaan,2018-01-01,1074
Sabah,All Districts,primary,Sekolah Rendah Kerajaan,2019-01-01,1074
Sabah,All Districts,primary,Sekolah Rendah Kerajaan,2020-01-01,1075
Sabah,All Districts,primary,Sekolah Rendah Kerajaan,2021-01-01,1075
Sabah,All Districts,primary,Sekolah Rendah Kerajaan,2022-01-01,1075
Sabah,All Districts,secondary,Sekolah Menengah Kerajaan,2017-01-01,219
Sabah,All Districts,secondary,Sekolah Menengah Kerajaan,2018-01-01,222
Sabah,All Districts,secondary,Sekolah Menengah Kerajaan,2019-01-01,222
Sabah,All Districts,secondary,Sekolah Menengah Kerajaan,2020-01-01,222
Sabah,All Districts,secondary,Sekolah Menengah Kerajaan,2021-01-01,221
Sabah,All Districts,secondary,Sekolah Menengah Kerajaan,2022-01-01,221
Sabah,All Districts,tertiary,IPTA,2017-01-01,1
Sabah,All Districts,tertiary,IPTA,2018-01-01,1
Sabah,All Districts,tertiary,IPTA,2019-01-01,1
Sabah,All Districts,tertiary,IPTA,2020-01-01,1
Sabah,All Districts,tertiary,IPTA,2021-01-01,1
Sabah,All Districts,tertiary,IPTA,2022-01-01,1
Sarawak,All Districts,primary,Sekolah Rendah Kerajaan,2017-01-01,1264
Sarawak,All Districts,primary,Sekolah Rendah Kerajaan,2018-01-01,1265
Sarawak,All Districts,primary,Sekolah Rendah Kerajaan,2019-01-01,1265
Sarawak,All Districts,primary,Sekolah Rendah Kerajaan,2020-01-01,1265
Sarawak,All Districts,primary,Sekolah Rendah Kerajaan,2021-01-01,1265
Sarawak,All Districts,primary,Sekolah Rendah Kerajaan,2022-01-01,1265
Sarawak,All Districts,secondary,Sekolah Menengah Kerajaan,2017-01-01,190
Sarawak,All Districts,secondary,Sekolah Menengah Kerajaan,2018-01-01,192
Sarawak,All Districts,secondary,Sekolah Menengah Kerajaan,2019-01-01,193
Sarawak,All Districts,secondary,Sekolah Menengah Kerajaan,2020-01-01,193
Sarawak,All Districts,secondary,Sekolah Menengah Kerajaan,2021-01-01,193
Sarawak,All Districts,secondary,Sekolah Menengah Kerajaan,2022-01-01,193
Sarawak,All Districts,tertiary,IPTA,2017-01-01,1
Sarawak,All Districts,tertiary,IPTA,2018-01-01,1
Sarawak,All Districts,tertiary,IPTA,2019-01-01,1
Sarawak,All Districts,tertiary,IPTA,2020-01-01,1
Sarawak,All Districts,tertiary,IPTA,2021-01-01,1
Sarawak,All Districts,tertiary,IPTA,2022-01-01,1
Selangor,All Districts,primary,Sekolah Rendah Kerajaan,2017-01-01,659
Selangor,All Districts,primary,Sekolah Rendah Kerajaan,2018-01-01,661
Selangor,All Districts,primary,Sekolah Rendah Kerajaan,2019-01-01,661
Selangor,All Districts,primary,Sekolah Rendah Kerajaan,2020-01-01,662
Selangor,All Districts,primary,Sekolah Rendah Kerajaan,2021-01-01,663
Selangor,All Districts,primary,Sekolah Rendah Kerajaan,2022-01-01,661
Selangor,All Districts,secondary,Sekolah Menengah Kerajaan,2017-01-01,277
Selangor,All Districts,secondary,Sekolah Menengah Kerajaan,2018-01-01,278
Selangor,All Districts,secondary,Sekolah Menengah Kerajaan,2019-01-01,278
Selangor,All Districts,secondary,Sekolah Menengah Kerajaan,2020-01-01,278
Selangor,All Districts,secondary,Sekolah Menengah Kerajaan,2021-01-01,278
Selangor,All Districts,secondary,Sekolah Menengah Kerajaan,2022-01-01,279
Selangor,All Districts,tertiary,IPTA,2017-01-01,4
Selangor,All Districts,tertiary,IPTA,2018-01-01,4
Selangor,All Districts,tertiary,IPTA,2019-01-01,4
Selangor,All Districts,tertiary,IPTA,2020-01-01,4
Selangor,All Districts,tertiary,IPTA,2021-01-01,4
Selangor,All Districts,tertiary,IPTA,2022-01-01,4
Terengganu,All Districts,primary,Sekolah Rendah Kerajaan,2017-01-01,352
Terengganu,All Districts,primary,Sekolah Rendah Kerajaan,2018-01-01,352
Terengganu,All Districts,primary,Sekolah Rendah Kerajaan,2019-01-01,352
Terengganu,All Districts,primary,Sekolah Rendah Kerajaan,2020-01-01,352
Terengganu,All Districts,primary,Sekolah Rendah Kerajaan,2021-01-01,352
Terengganu,All Districts,primary,Sekolah Rendah Kerajaan,2022-01-01,352
Terengganu,All Districts,secondary,Sekolah Menengah Kerajaan,2017-01-01,150
Terengganu,All Districts,secondary,Sekolah Menengah Kerajaan,2018-01-01,151
Terengganu,All Districts,secondary,Sekolah Menengah Kerajaan,2019-01-01,152
Terengganu,All Districts,secondary,Sekolah Menengah Kerajaan,2020-01-01,152
Terengganu,All Districts,secondary,Sekolah Menengah Kerajaan,2021-01-01,153
Terengganu,All Districts,secondary,Sekolah Menengah Kerajaan,2022-01-01,154
Terengganu,All Districts,tertiary,IPTA,2017-01-01,2
Terengganu,All Districts,tertiary,IPTA,2018-01-01,2
Terengganu,All Districts,tertiary,IPTA,2019-01-01,2
Terengganu,All Districts,tertiary,IPTA,2020-01-01,2
Terengganu,All Districts,tertiary,IPTA,2021-01-01,2
Terengganu,All Districts,tertiary,IPTA,2022-01-01,2
W.P. Kuala Lumpur,All Districts,primary,Sekolah Rendah Kerajaan,2017-01-01,201
W.P. Kuala Lumpur,All Districts,primary,Sekolah Rendah Kerajaan,2018-01-01,194
W.P. Kuala Lumpur,All Districts,primary,Sekolah Rendah Kerajaan,2019-01-01,191
W.P. Kuala Lumpur,All Districts,primary,Sekolah Rendah Kerajaan,2020-01-01,191
W.P. Kuala Lumpur,All Districts,primary,Sekolah Rendah Kerajaan,2021-01-01,190
W.P. Kuala Lumpur,All Districts,primary,Sekolah Rendah Kerajaan,2022-01-01,188
W.P. Kuala Lumpur,All Districts,secondary,Sekolah Menengah Kerajaan,2017-01-01,103
W.P. Kuala Lumpur,All Districts,secondary,Sekolah Menengah Kerajaan,2018-01-01,104
W.P. Kuala Lumpur,All Districts,secondary,Sekolah Menengah Kerajaan,2019-01-01,104
W.P. Kuala Lumpur,All Districts,secondary,Sekolah Menengah Kerajaan,2020-01-01,104
W.P. Kuala Lumpur,All Districts,secondary,Sekolah Menengah Kerajaan,2021-01-01,104
W.P. Kuala Lumpur,All Districts,secondary,Sekolah Menengah Kerajaan,2022-01-01,104
W.P. Kuala Lumpur,All Districts,tertiary,IPTA,2017-01-01,2
W.P. Kuala Lumpur,All Districts,tertiary,IPTA,2018-01-01,2
W.P. Kuala Lumpur,All Districts,tertiary,IPTA,2019-01-01,2
W.P. Kuala Lumpur,All Districts,tertiary,IPTA,2020-01-01,2
W.P. Kuala Lumpur,All Districts,tertiary,IPTA,2021-01-01,2
W.P. Kuala Lumpur,All Districts,tertiary,IPTA,2022-01-01,2
W.P. Labuan,All Districts,primary,Sekolah Rendah Kerajaan,2017-01-01,17
W.P. Labuan,All Districts,primary,Sekolah Rendah Kerajaan,2018-01-01,17
W.P. Labuan,All Districts,primary,Sekolah Rendah Kerajaan,2019-01-01,17
W.P. Labuan,All Districts,primary,Sekolah Rendah Kerajaan,2020-01-01,17
W.P. Labuan,All Districts,primary,Sekolah Rendah Kerajaan,2021-01-01,17
W.P. Labuan,All Districts,primary,Sekolah Rendah Kerajaan,2022-01-01,17
W.P. Labuan,All Districts,secondary,Sekolah Menengah Kerajaan,2017-01-01,10
W.P. Labuan,All Districts,secondary,Sekolah Menengah Kerajaan,2018-01-01,10
W.P. Labuan,All Districts,secondary,Sekolah Menengah Kerajaan,2019-01-01,10
W.P. Labuan,All Districts,secondary,Sekolah Menengah Kerajaan,2020-01-01,10
W.P. Labuan,All Districts,secondary,Sekolah Menengah Kerajaan,2021-01-01,10
W.P. Labuan,All Districts,secondary,Sekolah Menengah Kerajaan,2022-01-01,11
W.P. Labuan,All Districts,tertiary,IPTA,2017-01-01,0
W.P. Labuan,All Districts,tertiary,IPTA,2018-01-01,0
W.P. Labuan,All Districts,tertiary,IPTA,2019-01-01,0
W.P. Labuan,All Districts,tertiary,IPTA,2020-01-01,0
W.P. Labuan,All Districts,tertiary,IPTA,2021-01-01,0
W.P. Labuan,All Districts,tertiary,IPTA,2022-01-01,0
W.P. Putrajaya,All Districts,primary,Sekolah Rendah Kerajaan,2017-01-01,14
W.P. Putrajaya,All Districts,primary,Sekolah Rendah Kerajaan,2018-01-01,14
W.P. Putrajaya,All Districts,primary,Sekolah Rendah Kerajaan,2019-01-01,14
W.P. Putrajaya,All Districts,primary,Sekolah Rendah Kerajaan,2020-01-01,16
W.P. Putrajaya,All Districts,primary,Sekolah Rendah Kerajaan,2021-01-01,16
W.P. Putrajaya,All Districts,primary,Sekolah Rendah Kerajaan,2022-01-01,16
W.P. Putrajaya,All Districts,secondary,Sekolah Menengah Kerajaan,2017-01-01,11
W.P. Putrajaya,All Districts,secondary,Sekolah Menengah Kerajaan,2018-01-01,11
W.P. Putrajaya,All Districts,secondary,Sekolah Menengah Kerajaan,2019-01-01,11
W.P. Putrajaya,All Districts,secondary,Sekolah Menengah Kerajaan,2020-01-01,11
W.P. Putrajaya,All Districts,secondary,Sekolah Menengah Kerajaan,2021-01-01,11
W.P. Putrajaya,All Districts,secondary,Sekolah Menengah Kerajaan,2022-01-01,11
W.P. Putrajaya,All Districts,tertiary,IPTA,2017-01-01,0
W.P. Putrajaya,All Districts,tertiary,IPTA,2018-01-01,0
W.P. Putrajaya,All Districts,tertiary,IPTA,2019-01-01,0
W.P. Putrajaya,All Districts,tertiary,IPTA,2020-01-01,0
W.P. Putrajaya,All Districts,tertiary,IPTA,2021-01-01,0
W.P. Putrajaya,All Districts,tertiary,IPTA,2022-01-01,0
Johor,Batu Pahat,primary,Sekolah Rendah Kerajaan,2017-01-01,144
Johor,Batu Pahat,primary,Sekolah Rendah Kerajaan,2018-01-01,144
Johor,Batu Pahat,primary,Sekolah Rendah Kerajaan,2019-01-01,144
Johor,Batu Pahat,primary,Sekolah Rendah Kerajaan,2020-01-01,144
Johor,Batu Pahat,primary,Sekolah Rendah Kerajaan,2021-01-01,144
Johor,Batu Pahat,primary,Sekolah Rendah Kerajaan,2022-01-01,144
Johor,Batu Pahat,secondary,Sekolah Menengah Kerajaan,2017-01-01,32
Johor,Batu Pahat,secondary,Sekolah Menengah Kerajaan,2018-01-01,32
Johor,Batu Pahat,secondary,Sekolah Menengah Kerajaan,2019-01-01,32
Johor,Batu Pahat,secondary,Sekolah Menengah Kerajaan,2020-01-01,32
Johor,Batu Pahat,secondary,Sekolah Menengah Kerajaan,2021-01-01,32
Johor,Batu Pahat,secondary,Sekolah Menengah Kerajaan,2022-01-01,32
Johor,Batu Pahat,tertiary,IPTA,2017-01-01,1
Johor,Batu Pahat,tertiary,IPTA,2018-01-01,1
Johor,Batu Pahat,tertiary,IPTA,2019-01-01,1
Johor,Batu Pahat,tertiary,IPTA,2020-01-01,1
Johor,Batu Pahat,tertiary,IPTA,2021-01-01,1
Johor,Batu Pahat,tertiary,IPTA,2022-01-01,1
Johor,Johor Bahru,primary,Sekolah Rendah Kerajaan,2017-01-01,170
Johor,Johor Bahru,primary,Sekolah Rendah Kerajaan,2018-01-01,180
Johor,Johor Bahru,primary,Sekolah Rendah Kerajaan,2019-01-01,180
Johor,Johor Bahru,primary,Sekolah Rendah Kerajaan,2020-01-01,181
Johor,Johor Bahru,primary,Sekolah Rendah Kerajaan,2021-01-01,181
Johor,Johor Bahru,primary,Sekolah Rendah Kerajaan,2022-01-01,183
Johor,Johor Bahru,secondary,Sekolah Menengah Kerajaan,2017-01-01,84
Johor,Johor Bahru,secondary,Sekolah Menengah Kerajaan,2018-01-01,87
Johor,Johor Bahru,secondary,Sekolah Menengah Kerajaan,2019-01-01,87
Johor,Johor Bahru,secondary,Sekolah Menengah Kerajaan,2020-01-01,87
Johor,Johor Bahru,secondary,Sekolah Menengah Kerajaan,2021-01-01,87
Johor,Johor Bahru,secondary,Sekolah Menengah Kerajaan,2022-01-01,87
Johor,Johor Bahru,tertiary,IPTA,2017-01-01,1
Johor,Johor Bahru,tertiary,IPTA,2018-01-01,1
Johor,Johor Bahru,tertiary,IPTA,2019-01-01,1
Johor,Johor Bahru,tertiary,IPTA,2020-01-01,1
Johor,Johor Bahru,tertiary,IPTA,2021-01-01,1
Johor,Johor Bahru,tertiary,IPTA,2022-01-01,1
Johor,Kluang,primary,Sekolah Rendah Kerajaan,2017-01-01,89
Johor,Kluang,primary,Sekolah Rendah Kerajaan,2018-01-01,88
Johor,Kluang,primary,Sekolah Rendah Kerajaan,2019-01-01,88
Johor,Kluang,primary,Sekolah Rendah Kerajaan,2020-01-01,88
Johor,Kluang,primary,Sekolah Rendah Kerajaan,2021-01-01,88
Johor,Kluang,primary,Sekolah Rendah Kerajaan,2022-01-01,88
Johor,Kluang,secondary,Sekolah Menengah Kerajaan,2017-01-01,28
Johor,Kluang,secondary,Sekolah Menengah Kerajaan,2018-01-01,28
Johor,Kluang,secondary,Sekolah Menengah Kerajaan,2019-01-01,29
Johor,Kluang,secondary,Sekolah Menengah Kerajaan,2020-01-01,29
Johor,Kluang,secondary,Sekolah Menengah Kerajaan,2021-01-01,29
Johor,Kluang,secondary,Sekolah Menengah Kerajaan,2022-01-01,29
Johor,Kluang,tertiary,IPTA,2017-01-01,0
Johor,Kluang,tertiary,IPTA,2018-01-01,0
Johor,Kluang,tertiary,IPTA,2019-01-01,0
Johor,Kluang,tertiary,IPTA,2020-01-01,0
Johor,Kluang,tertiary,IPTA,2021-01-01,0
Johor,Kluang,tertiary,IPTA,2022-01-01,0
Johor,Kota Tinggi,primary,Sekolah Rendah Kerajaan,2017-01-01,74
Johor,Kota Tinggi,primary,Sekolah Rendah Kerajaan,2018-01-01,83
Johor,Kota Tinggi,primary,Sekolah Rendah Kerajaan,2019-01-01,83
Johor,Kota Tinggi,primary,Sekolah Rendah Kerajaan,2020-01-01,83
Johor,Kota Tinggi,primary,Sekolah Rendah Kerajaan,2021-01-01,83
Johor,Kota Tinggi,primary,Sekolah Rendah Kerajaan,2022-01-01,83
Johor,Kota Tinggi,secondary,Sekolah Menengah Kerajaan,2017-01-01,22
Johor,Kota Tinggi,secondary,Sekolah Menengah Kerajaan,2018-01-01,27
Johor,Kota Tinggi,secondary,Sekolah Menengah Kerajaan,2019-01-01,28
Johor,Kota Tinggi,secondary,Sekolah Menengah Kerajaan,2020-01-01,28
Johor,Kota Tinggi,secondary,Sekolah Menengah Kerajaan,2021-01-01,28
Johor,Kota Tinggi,secondary,Sekolah Menengah Kerajaan,2022-01-01,27
Johor,Kota Tinggi,tertiary,IPTA,2017-01-01,0
Johor,Kota Tinggi,tertiary,IPTA,2018-01-01,0
Johor,Kota Tinggi,tertiary,IPTA,2019-01-01,0
Johor,Kota Tinggi,tertiary,IPTA,2020-01-01,0
